"","Year","DBN","Name","Type","Enrollment","ELL.","Diab.","SelfContain.","EconNeed.","TempHousing.","HRA.","Asian","Black","Hisp","White","Principal","Teachers.3","Attendance","Absent","Teacher.Attendance","SA.Score","ELA.Std","Math.Std","ELA.Score","Math.Score","X90Pct.Attend","RI.Score","CollabT.Score","SuprtEnv.Score","Leadrshp.Score","Comunty.Score","Trust.Score","District","Borough","School.Number"
"1",2019,"01M015","P.S. 015 Roberto Clemente","Elementary",161,5,23,0.6,89,39.8,77,12.4,28,55.3,3.7,8.9,64,92.8,22.7,97.4,4.86,61.6,64.9,4.79,4.79,77.3,4.02,4.1,4.22,4.19,4.18,3.96,"01","Manhattan","015"
"2",2019,"01M019","P.S. 019 Asher Levy","Elementary",239,3.3,42.7,11.3,69,15.5,54.8,5.9,21.8,62.3,6.7,9.9,75,90.9,34.3,96.6,4.09,58.5,47.9,4.5,3.72,65.7,4.8,4.53,3.58,4.51,4.66,3.76,"01","Manhattan","019"
"3",2019,"01M020","P.S. 020 Anna Silver","Elementary",439,14.4,26.4,9.3,77,16.4,64.7,28.9,13,50.6,3.6,2.9,66.7,92.5,29.6,96.6,3.82,35.7,37.1,3.55,3.67,70.4,1.92,2.71,2.92,2.98,3.84,3.14,"01","Manhattan","020"
"4",2019,"01M034","P.S. 034 Franklin D. Roosevelt","K-8",288,7.6,39.2,2.8,95,29.5,87.5,2.8,33,60.1,2.8,2.7,54.5,88.5,45.5,96.8,1.74,19.7,10.7,1.17,1.5,54.5,2.14,2.69,2.41,2.59,3.67,2.38,"01","Manhattan","034"
"5",2019,"01M063","The STAR Academy - P.S.63","Elementary",207,1.9,36.2,1.9,76,26.1,62.3,1.9,21.3,65.2,8.2,11.9,59.1,90.8,34.7,96.7,3.15,43.5,33.7,3.45,2.38,65.3,4.25,4.31,3.99,3.6,4.23,3.77,"01","Manhattan","063"
"6",2019,"01M064","P.S. 064 Robert Simon","Elementary",204,2.9,30.4,2.5,90,24,78.4,3.4,17.6,71.1,5.9,10.9,75,89,45.6,97.3,4.15,49.4,40.7,4.99,4.21,54.4,3.74,4.56,3.33,4.09,4.18,4.04,"01","Manhattan","064"
"7",2019,"01M110","P.S. 110 Florence Nightingale","Elementary",338,2.4,12.7,1.2,59,15.4,42.3,15.1,10.7,44.7,26,11.1,70.8,94.1,22.9,97.4,3.86,70.3,75.2,3.82,3.95,77.1,1.96,3.11,2.81,3.15,3.67,3.29,"01","Manhattan","110"
"8",2019,"01M134","P.S. 134 Henrietta Szold","Elementary",267,9,44.9,14.6,92,22.1,86.9,9.7,25.5,60.7,3,1,83.9,89.3,45.5,96.2,3.66,35,29.4,4,3.94,54.5,3.19,2.51,2.67,1.53,3.38,2.55,"01","Manhattan","134"
"9",2019,"01M140","P.S. 140 Nathan Straus","K-8",373,11.5,38.1,16.4,90,25.7,81.2,4.6,13.7,79.1,2.7,4.1,75,88.6,46.3,96.4,2.71,24.6,18.6,2.38,2.73,53.7,3.4,3.44,2.78,4.21,3.59,3.7,"01","Manhattan","140"
"10",2019,"01M142","P.S. 142 Amalia Castro","Elementary",302,8.6,40.4,11.9,91,35.4,80.1,2.3,15.2,79.5,1,4,57.5,90.9,34.9,97.6,3.51,37.1,33.3,3.64,3.56,65.1,3.23,3.55,3.09,3.73,4.01,3.12,"01","Manhattan","142"
